kernel,N,nnz,sparsity,op_intensity_cpu,mem_mb,cpu_time_s,cpu_energy_j,gflops_cpu,bw_gbps_cpu,CPU_Cores,CPU_Freq,op_intensity_gpu,gpu_sm_count,gpu_freq_ghz,gpu_mem_gb,gpu_mem_bw_gbps,gpu_time_s,gpu_energy_j,gflops_gpu,bw_gbps_gpu,speedup,ilp_label,ilp_obj
GEMM,14336,0,0,1194.67,4932.5015,38.557119,3859.97,152.8303,0.1279,8,3.2,1194.67,24,1.112,24.0468,288.384,30.093,3736.03,195.816,0.163909,1.2812654,1,287.04329
GEMM,15360,0,0,1280,5662.3104,46.764672,4694.02,154.9836,0.1211,8,3.2,1280,24,1.112,24.0468,288.384,37.0134,4618.08,195.814,0.15298,1.2634525,1,287.04329
GEMM,16384,0,0,1365.33,6442.4509,59.527432,5913.04,147.7654,0.1082,8,3.2,684.85236,24,1.112,24.0468,288.384,22.464973,2808.4968,110.55435,2.9672695,2.6497887,1,287.04329
SpMV,1000,10000,0.01,0.142853,0.14,4.676285e-06,0.000359558,4.2769,29.9392,8,3.2,0.0825824,24,1.112,24.0468,288.384,1.331585e-05,0.0016288625,0.4794285,4.3792,0.35118186,0,287.04329
SpMV,2000,40000,0.01,0.153845,0.52,9.38974e-06,0.000759825,8.5199,55.38,8,3.2,0.09243555,24,1.112,24.0468,288.384,1.492145e-05,0.0016888375,1.646911,12.565508,0.62927799,0,287.04329
SpMV,5000,250000,0.01,0.16129,3.1,3.8577585e-05,0.00332787,12.9609,80.3576,8,3.2,0.10282145,24,1.112,24.0468,288.384,2.34829e-05,0.00255208,3.8570982,28.387463,1.6427948,0,287.04329
SpMV,10000,1000000,0.01,0.163934,12.2,0.00014196341,0.0123937,14.0881,85.9377,8,3.2,0.10794735,24,1.112,24.0468,288.384,4.10326e-05,0.0056353775,7.3921275,52.8825,3.4597712,0,287.04329
SpMV,12500,1562500,0.01,0.164474,19,0.00022538422,0.0196469,13.8652,84.3005,8,3.2,0.11136507,24,1.112,24.0468,288.384,5.37083e-05,0.0078031375,8.60267,61.5024,4.1964505,0,287.04329
SpMV,15000,2250000,0.01,0.164835,27.3,0.00033509174,0.0286223,13.4292,81.4702,8,3.2,0.11407033,24,1.112,24.0468,288.384,6.8771225e-05,0.010623585,9.5970425,68.73525,4.8725573,0,287.04329
SpMV,60000,36000000,0.01,0.166205,433.2,0.013411567,1.09501,5.3685,32.3005,8,3.2,0.13032547,24,1.112,24.0468,288.384,0.0010056245,0.15598552,14.561618,106.5183,13.336556,0,287.04329
SpMV,75000,56250000,0.01,0.166297,676.5,0.021039608,1.71612,5.3471,32.1536,8,3.2,0.13205097,24,1.112,24.0468,288.384,0.0016545889,0.24048425,15.442243,114.4165,12.715912,0,287.04329
SpMV,100000,100000000,0.01,0.166389,1202,0.03811926,3.09578,5.2467,31.5326,8,3.2,1.145228,24,1.112,24.0468,288.384,0.0021642772,0.37476802,29.465082,104.07284,17.612928,0,287.04329
SpMV,125000,156250000,0.01,0.166445,1877.5,0.05911462,4.81955,5.2863,31.7603,8,3.2,0.13735163,24,1.112,24.0468,288.384,0.0045384564,0.77404585,17.836535,129.11975,13.02527,0,287.04329
